"","Time","Month","Year","predicted_RECO","Daily_NEE","Daily_RECO_temp","Daily_RECO_flux","Daily_resi_temp","Daily_EF","Total_Randunc","Daily_P"
"1",2000-11-06,11,2000,NA,1.98622536461538,1.9467431202127,2.33008846153846,0.0394822444026839,0.580801028974666,0.175230002128101,0
"2",2000-11-07,11,2000,NA,2.207635,1.89227378672887,2.0708125,0.315361213271125,0.478335536921444,0.193384209535015,0
"3",2000-11-08,11,2000,NA,1.72923877777778,2.72820248007545,2.21039222222222,-0.998963702297667,0.605908004821552,0.173062985401674,0.0160625
"4",2000-11-09,11,2000,NA,1.49117166666667,1.81566104818346,1.70471166666667,-0.324489381516789,0.463116574057022,0.173621500437461,0.0350208333333333
"5",2000-11-10,11,2000,NA,1.57004571428571,1.37110355251721,1.46224071428571,0.1989421617685,0.521830445692937,0.157505546330559,0.0441666666666667
"6",2000-11-11,11,2000,NA,1.55796666666667,1.86888871873032,1.6348,-0.31092205206365,0.464329881870741,0.179239686558667,0.0071875
"7",2000-11-12,11,2000,NA,1.05198218181818,1.19070074934951,1.32747727272727,-0.138718567531328,0.460372681900482,0.228873738072633,0
"8",2000-11-13,11,2000,NA,1.89510363636364,2.27738965939009,1.55260909090909,-0.382286023026449,0.568954418413926,0.210060131387627,0.073625
"9",2000-11-14,11,2000,NA,1.99502,1.48476691788926,1.18893,0.510253082110742,0.520778339225419,0.191677908178001,0.002
"10",2000-11-16,11,2000,NA,0.9451834,2.099899761214,1.714563,-1.154716361214,0.450141111853843,0.26688078085778,0
"11",2000-11-17,11,2000,NA,1.250022,2.60458225829175,2.18313263157895,-1.35456025829175,0.488627143042786,0.396370077145796,0
"12",2000-11-18,11,2000,NA,1.39482666666667,3.32141198631361,2.69301,-1.92658531964694,0.468931670215692,0.364939006475002,0
"13",2000-11-19,11,2000,5.60059310714252,5.12960909090909,3.75299408635612,3.02450454545455,1.37661500455297,0.495753716751675,0.432294110640883,0
"14",2000-11-20,11,2000,NA,4.72624153846154,3.83900795852547,3.18232307692308,0.887233579936066,0.507932074181453,0.413786267770189,0
"15",2000-11-22,11,2000,NA,2.069065,3.21832647270751,3.574975,-1.14926147270751,0.521051107819389,0.433510600797211,0
"16",2000-11-25,11,2000,NA,1.71049333333333,2.98642029810598,3.89882166666667,-1.27592696477265,0.501174189966222,0.395519459005107,0
"17",2000-11-26,11,2000,NA,3.51559841666667,3.95831482162716,3.97169666666667,-0.44271640496049,0.517805583729131,0.350950076362786,0
"18",2000-11-28,11,2000,NA,3.81463875,5.9406705698984,3.992905,-2.1260318198984,0.517847231397473,0.355663516228408,0.007625
"19",2000-12-06,12,2000,NA,1.7333714,3.2299018219645,2.134266,-1.4965304219645,0.455628279435304,0.272898099295048,0
"20",2000-12-08,12,2000,NA,2.537417,2.26537648533251,2.060126,0.272040514667486,0.547289489459632,0.283396240347895,0
"21",2000-12-10,12,2000,NA,2.17523571428571,1.83302598163328,1.73755142857143,0.342209732652438,0.576806550656629,0.192895775384683,0.007375
"22",2000-12-11,12,2000,NA,1.111344625,1.46863832650128,1.5263925,-0.357293701501281,0.646486968424849,0.181605155067305,0.1269375
"23",2000-12-12,12,2000,3.46622263083693,2.8829,1.5582868800679,1.1105725,1.3246131199321,0.516809379251722,0.219654743885425,0.00975
"24",2000-12-13,12,2000,NA,0.930947,2.68913563150827,1.0317444,-1.75818863150827,0.741265162037106,0.185514593992458,0.2224375
"25",2000-12-21,12,2000,NA,6.5107,6.48413358127277,5.72335333333333,0.0265664187272341,0.881718181044467,0.293942189328942,0.0091875
"26",2000-12-22,12,2000,NA,5.150906,5.71223524851538,5.752511,-0.561329248515377,0.629703588615659,0.307666682846427,0
"27",2000-12-26,12,2000,NA,4.14035875,4.21039487102096,5.00102125,-0.0700361210209621,0.563996705046173,0.360458984527393,0
"28",2000-12-27,12,2000,NA,5.3229025,4.42329284890643,4.77307,0.899609651093566,0.597397056232317,0.37498414747089,0
"29",2000-12-28,12,2000,NA,4.65292666666667,5.697030749745,5.49352333333333,-1.04410408307833,0.545144294889387,0.405665413218864,0
"30",2000-12-31,5.4,2000,7.06388562855154,6.440158,5.05255393595786,3.903384,1.38760406404214,0.552891381964849,0.42760385488727,0
"31",2001-01-01,1,2001,5.30679688827272,5.22549,3.45213653165876,1.9876125,1.77335346834124,0.49821790571298,0.39332457991424,0
"32",2001-01-02,1,2001,NA,3.81658,3.46241180007493,2.10257666666667,0.354168199925073,0.53836673153699,0.34538941455919,0
