"","Time","Month","Year","predicted_RECO","Daily_NEE","Daily_RECO_temp","Daily_RECO_flux","Daily_resi_temp","Daily_EF","Daily_TA","Total_Randunc","Mean_HH_P_ERA"
"1","2008-01-02",1,2008,NA,5.49560545454545,5.44159526277381,5.33215272727273,0.0540101917716411,0.775591032517343,25.1336363636364,NA,NA
"2","2008-01-03",1,2008,NA,6.15875,5.67692091582107,5.41727,0.481829084178925,0.677687580261601,26.42,NA,NA
"3","2008-01-05",1,2008,NA,5.40583,4.56901483372995,5.40698,0.83681516627005,0.852279476335657,26.26,NA,NA
"4","2008-01-06",1,2008,NA,5.25423153846154,4.83248893101162,5.41077,0.421742607449923,0.627593018624504,26.1292307692308,NA,NA
"5","2008-01-07",1,2008,NA,5.42039714285714,6.40660058886083,5.65014857142857,-0.986203446003683,0.750490827082437,28.3171428571429,NA,NA
"6","2008-01-08",1,2008,NA,5.74205823529412,5.57032021235667,5.51068764705882,0.171738022937446,0.657980880218711,25.8588235294118,NA,NA
"7","2008-01-09",1,2008,NA,6.81499428571429,5.83023323311268,5.53598,0.984761052601608,0.728128471356941,25.7285714285714,NA,NA
"8","2008-01-10",1,2008,NA,5.149946,6.33045162878215,5.544432,-1.18050562878215,0.73217207848036,25.846,NA,NA
"9","2008-01-11",1,2008,NA,7.23064833333333,6.55018896249497,5.65640833333333,0.680459370838361,0.621880911017145,27.6,NA,NA
"10","2008-01-12",1,2008,NA,4.67547428571429,5.87776062145628,5.58210571428571,-1.20228633574199,0.714904614003436,26.4371428571429,NA,NA
"11","2008-01-13",1,2008,NA,5.78947242857143,4.99498399469155,5.49067714285714,0.794488433879881,0.761413069170352,25.3642857142857,NA,NA
"12","2008-01-14",1,2008,NA,5.32337066666667,5.10646242055087,5.45480466666667,0.216908246115797,0.656488092715938,25.75,NA,NA
"13","2008-01-15",1,2008,NA,5.752935,5.04696935601643,5.431679375,0.705965643983568,0.595858899823704,26.261875,NA,NA
"14","2008-01-16",1,2008,NA,4.88671529411765,5.49025811101275,5.48025235294118,-0.603542816895107,0.637248420532486,27.6894117647059,NA,NA
"15","2008-01-17",1,2008,NA,5.208926,5.75891692424524,5.51878333333333,-0.549990924245245,0.686771587245299,27.7333333333333,NA,NA
"16","2008-01-18",1,2008,NA,5.32987555555556,6.55152922129158,5.63256222222222,-1.22165366573603,0.634298341616797,28.2233333333333,NA,NA
"17","2008-01-19",1,2008,NA,5.22810333333333,4.64304605932131,5.53135,0.585057274012023,0.74680762988335,25.5466666666667,NA,NA
"18","2008-01-20",1,2008,NA,6.05414166666667,5.16621832790121,5.6286825,0.88792333876546,0.689744434411401,26.2425,NA,NA
"19","2008-01-21",1,2008,8.58804088975334,7.15438142857143,5.80143784684494,5.76590857142857,1.35294358172649,0.710698640510393,27.4314285714286,0.534741411065829,0.0555
"20","2008-01-22",1,2008,NA,5.738416,5.30373316581202,5.740969,0.434682834187981,0.695777861719719,26.264,NA,NA
"21","2008-01-23",1,2008,NA,5.55425666666667,5.2386299527508,5.756545,0.315626713915869,0.641675075886713,27.1316666666667,NA,NA
"22","2008-01-24",1,2008,NA,4.165446,5.26032105017769,5.60245,-1.09487505017769,0.734021191626186,26.266,NA,NA
"23","2008-01-25",1,2008,NA,4.26675666666667,3.89251459569145,5.44112666666667,0.37424207097522,0.664031447947956,25.9866666666667,NA,NA
"24","2008-01-26",1,2008,NA,6.33778,4.96401282716948,5.16808,1.37376717283052,0.694189535669891,25.58,NA,NA
"25","2008-01-27",1,2008,NA,8.02806,5.49992344991184,5.07366,2.52813655008816,0.672270884694715,26.56,NA,NA
"26","2008-01-29",1,2008,NA,4.899754,5.06268534913332,4.906051,-0.162931349133324,0.614311797951484,25.762,NA,NA
"27","2008-02-07",2,2008,NA,5.20319,4.56652088621035,4.96928,0.63666911378965,0.72054975066047,24.98,NA,NA
"28","2008-02-08",2,2008,NA,3.18472,5.50559253614723,5.12258,-2.32087253614723,0.629658267497498,28.13,NA,NA
"29","2008-02-10",2,2008,NA,5.3375,4.35993166833715,4.93328,0.977568331662851,0.784176578991456,25.67,NA,NA
"30","2008-02-11",2,2008,NA,3.51611,4.17167345088856,4.84243,-0.65556345088856,0.769004712235929,26.17,NA,NA
"31","2008-02-18",2,2008,NA,5.54,5.03279688797373,3.97426,0.50720311202627,0.741855404991216,25.89,NA,NA
"32","2008-02-21",2,2008,NA,3.13787,4.70481669897062,4.24785333333333,-1.56694669897062,0.702003308261166,25.2166666666667,NA,NA
"33","2008-02-22",2,2008,NA,6.05562375,5.69375731053171,5.39700625,0.361866439468285,0.705514808003218,25.53,NA,NA
